,Lake,Flowcell,Mean read length,Mean read quality,Median read length,Median read quality,Number of reads,Read length N50,STDEV read length,Total bases
BRC_02,CY,R9,2362.80,11.50,1696.00,11.50,316858.00,3805.00,2162.10,748681634.00
BRC_03,CY,R9,1524.60,11.90,821.00,11.90,229399.00,2912.00,1706.40,349752309.00
BRC_04,CY,R9,2110.20,11.40,1539.00,11.40,337530.00,3342.00,1884.90,712255251.00
BRC_05,CN,R9,1688.70,11.30,1083.00,11.30,697145.00,2868.00,1706.40,1177255320.00
BRC_07,CY,R9,3926.70,12.60,2595.00,12.70,109616.00,6688.00,3995.20,430429471.00
BRC_08,CY,R9,2702.70,12.70,1618.00,12.80,99050.00,4830.00,3061.40,267697637.00
BRC_09,CN,R9,3179.80,13.00,1807.00,13.10,19177.00,6091.00,3862.70,60979318.00
Li_01,CY,R10,944.30,18.40,530.00,17.90,4006556.00,1495.00,1344.30,3783445399.00
Li_02,CN,R10,1716.50,16.80,828.00,16.50,1636603.00,3584.00,2289.40,2809170332.00
Li_03,CN,R10,1339.00,16.60,573.00,16.10,1698015.00,3013.00,2276.50,2273686247.00